Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,235443,-,-,-,33.85,-116.46,-8,176,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,GHI,Cloud Type
2006,1,1,0,30,12.200000000000001,0,0,0
2006,1,1,1,30,11.600000000000001,0,0,0
2006,1,1,2,30,11.100000000000001,0,0,8
2006,1,1,3,30,10.9,0,0,0
2006,1,1,4,30,10.8,0,0,7
2006,1,1,5,30,10.600000000000001,0,0,7
2006,1,1,6,30,10.700000000000001,0,0,7
2006,1,1,7,30,11.600000000000001,12,53,8
2006,1,1,8,30,12.9,697,252,0
2006,1,1,9,30,14.4,814,407,0
2006,1,1,10,30,16.1,249,381,7
2006,1,1,11,30,17.3,90,329,7
2006,1,1,12,30,18.1,36,266,8
2006,1,1,13,30,18.6,323,365,8
2006,1,1,14,30,18.400000000000002,30,171,7
2006,1,1,15,30,16.400000000000002,0,33,4
2006,1,1,16,30,13.8,0,16,4
2006,1,1,17,30,12.8,0,0,7
2006,1,1,18,30,12.600000000000001,0,0,7
2006,1,1,19,30,12.5,0,0,7
2006,1,1,20,30,12.200000000000001,0,0,4
2006,1,1,21,30,12,0,0,7
2006,1,1,22,30,12.100000000000001,0,0,7
2006,1,1,23,30,12.600000000000001,0,0,0
2006,1,2,0,30,12.9,0,0,1
2006,1,2,1,30,13,0,0,0
2006,1,2,2,30,12.9,0,0,0
2006,1,2,3,30,12.8,0,0,0
2006,1,2,4,30,12.8,0,0,4
2006,1,2,5,30,12.8,0,0,4
2006,1,2,6,30,13,0,0,0
2006,1,2,7,30,13.700000000000001,4,43,8
2006,1,2,8,30,14.700000000000001,0,43,3
2006,1,2,9,30,16,89,280,3
2006,1,2,10,30,17.2,335,397,8
2006,1,2,11,30,17.8,5,168,7
2006,1,2,12,30,17.8,110,328,7
2006,1,2,13,30,17.400000000000002,3,130,7
2006,1,2,14,30,16.8,13,135,7
2006,1,2,15,30,15.700000000000001,580,190,1
2006,1,2,16,30,14.200000000000001,233,32,0
2006,1,2,17,30,12.9,0,0,0
2006,1,2,18,30,12,0,0,8
2006,1,2,19,30,11.5,0,0,4
2006,1,2,20,30,11.3,0,0,1
2006,1,2,21,30,11.100000000000001,0,0,0
2006,1,2,22,30,11,0,0,0
2006,1,2,23,30,10.8,0,0,0
2006,1,3,0,30,10.5,0,0,0
2006,1,3,1,30,9.9,0,0,0
2006,1,3,2,30,9.1,0,0,0
2006,1,3,3,30,8.5,0,0,0
2006,1,3,4,30,8.1,0,0,0
2006,1,3,5,30,7.6000000000000005,0,0,0
2006,1,3,6,30,7.800000000000001,0,0,0
2006,1,3,7,30,9.5,450,83,0
2006,1,3,8,30,11.700000000000001,733,264,0
2006,1,3,9,30,14,502,364,7
2006,1,3,10,30,16.1,122,341,7
2006,1,3,11,30,17.900000000000002,351,450,7
2006,1,3,12,30,19.1,936,583,0
2006,1,3,13,30,19.400000000000002,907,509,0
2006,1,3,14,30,18.6,836,376,0
2006,1,3,15,30,16.400000000000002,688,206,0
2006,1,3,16,30,13.9,303,35,0
2006,1,3,17,30,12.9,0,0,0
2006,1,3,18,30,11.8,0,0,7
2006,1,3,19,30,10.700000000000001,0,0,7
2006,1,3,20,30,10.4,0,0,7
2006,1,3,21,30,10.200000000000001,0,0,7
2006,1,3,22,30,10.100000000000001,0,0,7
2006,1,3,23,30,9.8,0,0,7
2006,1,4,0,30,9.700000000000001,0,0,7
2006,1,4,1,30,9.8,0,0,7
2006,1,4,2,30,10.100000000000001,0,0,7
2006,1,4,3,30,10.3,0,0,7
2006,1,4,4,30,9.9,0,0,7
2006,1,4,5,30,9.3,0,0,7
2006,1,4,6,30,9.700000000000001,0,0,7
2006,1,4,7,30,12.9,10,49,7
2006,1,4,8,30,16.8,730,255,0
2006,1,4,9,30,19.5,840,411,0
2006,1,4,10,30,21.5,885,522,0
2006,1,4,11,30,22.8,907,577,0
2006,1,4,12,30,23.5,901,567,0
2006,1,4,13,30,23.6,869,495,0
2006,1,4,14,30,22.6,800,368,0
2006,1,4,15,30,19.3,193,161,8
2006,1,4,16,30,15.8,2,23,7
2006,1,4,17,30,14.4,0,0,7
2006,1,4,18,30,13.600000000000001,0,0,7
2006,1,4,19,30,13.100000000000001,0,0,3
2006,1,4,20,30,12.8,0,0,0
2006,1,4,21,30,12.600000000000001,0,0,0
2006,1,4,22,30,12.5,0,0,3
2006,1,4,23,30,12.5,0,0,1
2006,1,5,0,30,12.4,0,0,1
2006,1,5,1,30,12.3,0,0,3
2006,1,5,2,30,12.100000000000001,0,0,3
2006,1,5,3,30,11.9,0,0,1
2006,1,5,4,30,11.700000000000001,0,0,4
2006,1,5,5,30,11.5,0,0,0
2006,1,5,6,30,12.3,0,0,0
2006,1,5,7,30,15.600000000000001,501,84,0
2006,1,5,8,30,19.3,768,264,0
2006,1,5,9,30,21.8,878,425,0
2006,1,5,10,30,23.5,921,539,0
2006,1,5,11,30,24.700000000000003,938,594,0
2006,1,5,12,30,25.3,930,584,0
2006,1,5,13,30,25.3,549,448,8
2006,1,5,14,30,24.1,462,357,3
