Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,202765,-,-,-,34.85,-118.34,-8,763,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,GHI
2006,1,1,0,30,4.4,1,0,0
2006,1,1,1,30,4,7,0,0
2006,1,1,2,30,4,7,0,0
2006,1,1,3,30,4,7,0,0
2006,1,1,4,30,4.2,7,0,0
2006,1,1,5,30,4.4,7,0,0
2006,1,1,6,30,4.6000000000000005,7,0,0
2006,1,1,7,30,5.6000000000000005,7,0,17
2006,1,1,8,30,6.800000000000001,7,52,140
2006,1,1,9,30,7.800000000000001,7,5,114
2006,1,1,10,30,8.6,7,37,234
2006,1,1,11,30,9.200000000000001,6,0,57
2006,1,1,12,30,9.600000000000001,7,0,71
2006,1,1,13,30,9.5,6,0,63
2006,1,1,14,30,8.9,7,0,27
2006,1,1,15,30,8.1,7,0,4
2006,1,1,16,30,7.5,7,0,6
2006,1,1,17,30,7.1000000000000005,7,0,0
2006,1,1,18,30,7.2,6,0,0
2006,1,1,19,30,7.7,7,0,0
2006,1,1,20,30,8.6,7,0,0
2006,1,1,21,30,9.5,7,0,0
2006,1,1,22,30,10.3,7,0,0
2006,1,1,23,30,10.700000000000001,7,0,0
2006,1,2,0,30,10.9,7,0,0
2006,1,2,1,30,11.100000000000001,7,0,0
2006,1,2,2,30,11.200000000000001,7,0,0
2006,1,2,3,30,11.200000000000001,7,0,0
2006,1,2,4,30,11,7,0,0
2006,1,2,5,30,10.9,7,0,0
2006,1,2,6,30,10.8,7,0,0
2006,1,2,7,30,10.8,7,4,32
2006,1,2,8,30,11.200000000000001,6,0,10
2006,1,2,9,30,11.8,7,78,217
2006,1,2,10,30,11.8,6,0,75
2006,1,2,11,30,11.200000000000001,8,7,177
2006,1,2,12,30,10.700000000000001,7,310,413
2006,1,2,13,30,10.4,7,64,247
2006,1,2,14,30,9.9,8,0,53
2006,1,2,15,30,8.8,0,597,202
2006,1,2,16,30,7.800000000000001,1,213,40
2006,1,2,17,30,7.4,4,0,0
2006,1,2,18,30,7.300000000000001,0,0,0
2006,1,2,19,30,7.1000000000000005,1,0,0
2006,1,2,20,30,6.800000000000001,1,0,0
2006,1,2,21,30,6.300000000000001,0,0,0
2006,1,2,22,30,5.800000000000001,0,0,0
2006,1,2,23,30,5.4,0,0,0
2006,1,3,0,30,4.9,0,0,0
2006,1,3,1,30,4.5,0,0,0
2006,1,3,2,30,4.2,0,0,0
2006,1,3,3,30,4,0,0,0
2006,1,3,4,30,3.9000000000000004,0,0,0
2006,1,3,5,30,3.6,0,0,0
2006,1,3,6,30,3.4000000000000004,1,0,0
2006,1,3,7,30,4.1000000000000005,7,4,35
2006,1,3,8,30,5.6000000000000005,0,725,231
2006,1,3,9,30,7.300000000000001,0,856,394
2006,1,3,10,30,9.4,7,683,484
2006,1,3,11,30,11.3,0,938,572
2006,1,3,12,30,12.3,0,943,571
2006,1,3,13,30,12.4,0,902,502
2006,1,3,14,30,11.5,7,544,331
2006,1,3,15,30,9.600000000000001,8,340,190
2006,1,3,16,30,7,4,0,26
2006,1,3,17,30,5.1000000000000005,0,0,0
2006,1,3,18,30,4.1000000000000005,1,0,0
2006,1,3,19,30,3.4000000000000004,0,0,0
2006,1,3,20,30,3,4,0,0
2006,1,3,21,30,2.7,0,0,0
2006,1,3,22,30,2.7,4,0,0
2006,1,3,23,30,3.1,1,0,0
2006,1,4,0,30,4,0,0,0
2006,1,4,1,30,4.9,0,0,0
2006,1,4,2,30,5.4,1,0,0
2006,1,4,3,30,5.300000000000001,7,0,0
2006,1,4,4,30,4.9,1,0,0
2006,1,4,5,30,4.6000000000000005,1,0,0
2006,1,4,6,30,5,0,0,0
2006,1,4,7,30,7.1000000000000005,1,410,55
2006,1,4,8,30,9.8,7,429,198
2006,1,4,9,30,12.200000000000001,8,347,304
2006,1,4,10,30,14.3,7,20,194
2006,1,4,11,30,15.700000000000001,7,115,330
2006,1,4,12,30,16.2,7,178,379
2006,1,4,13,30,16.1,4,209,379
2006,1,4,14,30,15.4,7,323,302
2006,1,4,15,30,13.100000000000001,4,121,166
2006,1,4,16,30,10.5,7,3,30
2006,1,4,17,30,9.4,7,0,0
2006,1,4,18,30,9,7,0,0
2006,1,4,19,30,8.700000000000001,7,0,0
2006,1,4,20,30,8.5,7,0,0
2006,1,4,21,30,8.3,4,0,0
2006,1,4,22,30,8.200000000000001,4,0,0
2006,1,4,23,30,8.1,4,0,0
2006,1,5,0,30,8.1,4,0,0
2006,1,5,1,30,8.1,0,0,0
2006,1,5,2,30,8.1,1,0,0
2006,1,5,3,30,8,0,0,0
2006,1,5,4,30,8,0,0,0
2006,1,5,5,30,8,0,0,0
2006,1,5,6,30,8.5,0,0,0
2006,1,5,7,30,10.3,1,438,57
2006,1,5,8,30,12.8,4,29,146
2006,1,5,9,30,15.100000000000001,0,867,392
2006,1,5,10,30,16.7,1,909,510
2006,1,5,11,30,17.5,0,928,571
2006,1,5,12,30,17.7,0,927,570
2006,1,5,13,30,17.400000000000002,0,910,507
2006,1,5,14,30,16.400000000000002,0,844,386
2006,1,5,15,30,14.5,3,222,179
2006,1,5,16,30,12.700000000000001,4,0,28
2006,1,5,17,30,11.700000000000001,3,0,0
2006,1,5,18,30,11.200000000000001,7,0,0
2006,1,5,19,30,10.8,7,0,0
2006,1,5,20,30,10.5,7,0,0
2006,1,5,21,30,10.200000000000001,7,0,0
2006,1,5,22,30,9.8,0,0,0
2006,1,5,23,30,9.600000000000001,4,0,0
2006,1,6,0,30,9.3,4,0,0
2006,1,6,1,30,9,7,0,0
2006,1,6,2,30,8.5,4,0,0
2006,1,6,3,30,8.1,0,0,0
2006,1,6,4,30,7.7,4,0,0
2006,1,6,5,30,7.5,7,0,0
2006,1,6,6,30,8,0,0,0
2006,1,6,7,30,10.100000000000001,0,460,59
2006,1,6,8,30,12.8,0,782,239
2006,1,6,9,30,15,0,899,406
2006,1,6,10,30,17.1,0,956,529
2006,1,6,11,30,18.5,0,980,593
2006,1,6,12,30,19.400000000000002,0,981,592
2006,1,6,13,30,19.8,0,959,527
2006,1,6,14,30,19,0,904,404
2006,1,6,15,30,15.5,0,780,236
2006,1,6,16,30,11.8,0,454,56
2006,1,6,17,30,9.9,1,0,0
2006,1,6,18,30,9,4,0,0
2006,1,6,19,30,8.4,4,0,0
2006,1,6,20,30,8.200000000000001,4,0,0
2006,1,6,21,30,8.3,0,0,0
2006,1,6,22,30,8.5,7,0,0
2006,1,6,23,30,8.9,7,0,0
2006,1,7,0,30,9.4,8,0,0
2006,1,7,1,30,9,7,0,0
2006,1,7,2,30,7,0,0,0
2006,1,7,3,30,5.4,1,0,0
2006,1,7,4,30,5.1000000000000005,1,0,0
2006,1,7,5,30,5,0,0,0
2006,1,7,6,30,5.7,0,0,0
2006,1,7,7,30,7.6000000000000005,0,333,53
2006,1,7,8,30,9.600000000000001,0,685,227
2006,1,7,9,30,11.600000000000001,0,851,397
2006,1,7,10,30,13.5,0,920,521
2006,1,7,11,30,14.600000000000001,0,954,587
2006,1,7,12,30,14.9,0,949,583
2006,1,7,13,30,14.700000000000001,0,918,518
2006,1,7,14,30,13.8,0,859,396
2006,1,7,15,30,11.600000000000001,0,741,233
2006,1,7,16,30,8.9,0,420,56
2006,1,7,17,30,7.6000000000000005,0,0,0
2006,1,7,18,30,7.6000000000000005,0,0,0
2006,1,7,19,30,7.7,0,0,0
2006,1,7,20,30,7.6000000000000005,0,0,0
2006,1,7,21,30,7.2,0,0,0
2006,1,7,22,30,6.6000000000000005,0,0,0
2006,1,7,23,30,6,0,0,0
2006,1,8,0,30,5.300000000000001,0,0,0
2006,1,8,1,30,4.800000000000001,0,0,0
2006,1,8,2,30,4.5,0,0,0
2006,1,8,3,30,4.2,0,0,0
2006,1,8,4,30,3.8000000000000003,0,0,0
2006,1,8,5,30,3.5,0,0,0
2006,1,8,6,30,3.7,0,0,0
2006,1,8,7,30,4.9,0,357,55
2006,1,8,8,30,7.300000000000001,0,704,231
2006,1,8,9,30,10,0,848,399
2006,1,8,10,30,12.4,0,900,518
2006,1,8,11,30,14.700000000000001,0,936,585
2006,1,8,12,30,16.3,0,933,582
2006,1,8,13,30,16.8,0,894,516
2006,1,8,14,30,15.8,0,825,392
2006,1,8,15,30,12.700000000000001,0,696,228
2006,1,8,16,30,9.200000000000001,0,351,54
2006,1,8,17,30,7.4,0,0,0
2006,1,8,18,30,6.7,0,0,0
2006,1,8,19,30,6.1000000000000005,0,0,0
2006,1,8,20,30,5.7,0,0,0
2006,1,8,21,30,5.5,0,0,0
2006,1,8,22,30,5.5,0,0,0
2006,1,8,23,30,5.5,0,0,0
2006,1,9,0,30,5.4,0,0,0
2006,1,9,1,30,5.2,0,0,0
2006,1,9,2,30,5,0,0,0
2006,1,9,3,30,4.800000000000001,0,0,0
2006,1,9,4,30,4.5,0,0,0
2006,1,9,5,30,4.2,0,0,0
2006,1,9,6,30,4.5,0,0,0
2006,1,9,7,30,6.4,0,379,55
2006,1,9,8,30,9.3,0,722,232
2006,1,9,9,30,11.8,0,857,399
2006,1,9,10,30,13.5,0,900,517
2006,1,9,11,30,14.600000000000001,0,928,582
2006,1,9,12,30,15.200000000000001,0,928,583
2006,1,9,13,30,15.200000000000001,0,916,522
2006,1,9,14,30,14.4,0,855,401
2006,1,9,15,30,11.700000000000001,0,725,235
2006,1,9,16,30,8.200000000000001,0,393,59
2006,1,9,17,30,6.5,0,0,0
2006,1,9,18,30,5.800000000000001,0,0,0
2006,1,9,19,30,5.300000000000001,0,0,0
2006,1,9,20,30,4.9,0,0,0
2006,1,9,21,30,4.6000000000000005,0,0,0
2006,1,9,22,30,4.3,0,0,0
2006,1,9,23,30,4.1000000000000005,0,0,0
2006,1,10,0,30,3.9000000000000004,0,0,0
2006,1,10,1,30,3.6,0,0,0
2006,1,10,2,30,3.4000000000000004,0,0,0
2006,1,10,3,30,3.1,0,0,0
2006,1,10,4,30,2.9000000000000004,0,0,0
2006,1,10,5,30,2.7,0,0,0
2006,1,10,6,30,3.1,0,0,0
2006,1,10,7,30,5.800000000000001,1,316,52
2006,1,10,8,30,9.600000000000001,0,670,227
2006,1,10,9,30,12.4,0,814,394
2006,1,10,10,30,14.3,0,897,522
2006,1,10,11,30,15.4,0,925,589
2006,1,10,12,30,16.1,0,926,590
2006,1,10,13,30,16.2,0,904,527
2006,1,10,14,30,15.3,0,844,405
2006,1,10,15,30,12.8,0,725,242
2006,1,10,16,30,10.100000000000001,0,398,62
2006,1,10,17,30,8.6,0,0,0
2006,1,10,18,30,7.6000000000000005,1,0,0
2006,1,10,19,30,6.800000000000001,1,0,0
2006,1,10,20,30,6.4,0,0,0
2006,1,10,21,30,6,0,0,0
2006,1,10,22,30,5.6000000000000005,0,0,0
2006,1,10,23,30,5.1000000000000005,0,0,0
2006,1,11,0,30,4.7,0,0,0
2006,1,11,1,30,4.4,0,0,0
2006,1,11,2,30,4.1000000000000005,1,0,0
2006,1,11,3,30,3.7,0,0,0
2006,1,11,4,30,3.3000000000000003,0,0,0
2006,1,11,5,30,3,7,0,0
2006,1,11,6,30,3.5,7,0,0
2006,1,11,7,30,5.9,8,4,37
2006,1,11,8,30,9.1,0,640,220
2006,1,11,9,30,12.200000000000001,0,786,383
2006,1,11,10,30,14.9,4,389,435
2006,1,11,11,30,16.400000000000002,8,676,512
2006,1,11,12,30,16.6,8,416,461
2006,1,11,13,30,16.1,7,315,395
2006,1,11,14,30,14.8,6,0,64
2006,1,11,15,30,12.200000000000001,6,0,12
2006,1,11,16,30,8.9,6,1,29
2006,1,11,17,30,6.9,6,0,0
2006,1,11,18,30,5.9,6,0,0
2006,1,11,19,30,5.4,7,0,0
2006,1,11,20,30,5.2,7,0,0
2006,1,11,21,30,5.1000000000000005,7,0,0
2006,1,11,22,30,5.1000000000000005,7,0,0
2006,1,11,23,30,4.9,0,0,0
2006,1,12,0,30,4.9,1,0,0
2006,1,12,1,30,5.1000000000000005,1,0,0
2006,1,12,2,30,5.2,4,0,0
2006,1,12,3,30,5.2,4,0,0
2006,1,12,4,30,5.300000000000001,7,0,0
2006,1,12,5,30,5.1000000000000005,4,0,0
2006,1,12,6,30,5.1000000000000005,7,0,0
2006,1,12,7,30,7.1000000000000005,7,4,35
2006,1,12,8,30,10.5,0,714,229
2006,1,12,9,30,13.700000000000001,0,845,394
2006,1,12,10,30,16,0,899,515
2006,1,12,11,30,17.2,0,923,580
2006,1,12,12,30,17.6,0,924,582
2006,1,12,13,30,17.5,0,892,519
2006,1,12,14,30,16.8,0,832,400
2006,1,12,15,30,14.100000000000001,0,704,238
2006,1,12,16,30,10.8,0,391,64
2006,1,12,17,30,9.1,0,0,0
2006,1,12,18,30,8.200000000000001,0,0,0
2006,1,12,19,30,7.6000000000000005,0,0,0
2006,1,12,20,30,7.1000000000000005,0,0,0
2006,1,12,21,30,6.7,0,0,0
2006,1,12,22,30,6.4,0,0,0
2006,1,12,23,30,6,0,0,0
2006,1,13,0,30,5.7,0,0,0
2006,1,13,1,30,5.5,0,0,0
2006,1,13,2,30,5.300000000000001,0,0,0
2006,1,13,3,30,5,0,0,0
2006,1,13,4,30,4.9,0,0,0
2006,1,13,5,30,4.7,0,0,0
2006,1,13,6,30,5.300000000000001,0,0,0
2006,1,13,7,30,7.7,1,382,56
2006,1,13,8,30,10.9,0,714,231
2006,1,13,9,30,14,0,845,397
2006,1,13,10,30,16.7,0,911,521
2006,1,13,11,30,18.5,0,935,587
2006,1,13,12,30,19.5,0,928,587
2006,1,13,13,30,19.700000000000003,0,904,525
2006,1,13,14,30,18.7,1,846,406
2006,1,13,15,30,15.600000000000001,0,721,243
2006,1,13,16,30,12,0,380,65
2006,1,13,17,30,10.100000000000001,7,0,0
2006,1,13,18,30,9.200000000000001,7,0,0
2006,1,13,19,30,8.5,7,0,0
2006,1,13,20,30,8.1,7,0,0
2006,1,13,21,30,7.6000000000000005,0,0,0
2006,1,13,22,30,7.4,0,0,0
2006,1,13,23,30,7.5,7,0,0
2006,1,14,0,30,7.7,7,0,0
2006,1,14,1,30,7.800000000000001,8,0,0
2006,1,14,2,30,7.9,1,0,0
2006,1,14,3,30,7.800000000000001,0,0,0
2006,1,14,4,30,7.5,0,0,0
2006,1,14,5,30,7.300000000000001,0,0,0
2006,1,14,6,30,7.4,0,0,0
2006,1,14,7,30,7.9,0,270,52
2006,1,14,8,30,8.5,4,0,31
2006,1,14,9,30,8.9,8,84,235
2006,1,14,10,30,9.3,7,2,123
2006,1,14,11,30,9.600000000000001,8,370,472
2006,1,14,12,30,10,0,856,582
2006,1,14,13,30,10.200000000000001,0,871,529
2006,1,14,14,30,9.9,7,332,326
2006,1,14,15,30,8.700000000000001,8,111,169
2006,1,14,16,30,6.6000000000000005,7,12,48
2006,1,14,17,30,5.1000000000000005,4,0,0
2006,1,14,18,30,4.6000000000000005,0,0,0
2006,1,14,19,30,4.2,1,0,0
2006,1,14,20,30,3.8000000000000003,0,0,0
2006,1,14,21,30,3.6,0,0,0
2006,1,14,22,30,3.6,0,0,0
2006,1,14,23,30,3.6,1,0,0
2006,1,15,0,30,3.6,0,0,0
2006,1,15,1,30,3.5,0,0,0
2006,1,15,2,30,3.4000000000000004,0,0,0
2006,1,15,3,30,3.3000000000000003,0,0,0
2006,1,15,4,30,3.3000000000000003,0,0,0
2006,1,15,5,30,3.3000000000000003,8,0,0
2006,1,15,6,30,3.2,8,0,0
2006,1,15,7,30,3.5,4,0,28
2006,1,15,8,30,4.4,4,0,8
2006,1,15,9,30,5.7,1,895,417
2006,1,15,10,30,6.9,0,963,549
2006,1,15,11,30,7.7,0,992,619
2006,1,15,12,30,7.800000000000001,0,996,622
2006,1,15,13,30,7.5,0,971,560
2006,1,15,14,30,6.6000000000000005,4,1,150
2006,1,15,15,30,5.1000000000000005,4,109,191
2006,1,15,16,30,3.4000000000000004,0,504,79
2006,1,15,17,30,2.6,0,0,0
2006,1,15,18,30,2.4000000000000004,0,0,0
2006,1,15,19,30,2.2,0,0,0
2006,1,15,20,30,1.8,0,0,0
2006,1,15,21,30,1.3,0,0,0
2006,1,15,22,30,0.7000000000000001,0,0,0
2006,1,15,23,30,0,0,0,0
2006,1,16,0,30,-0.4,0,0,0
2006,1,16,1,30,-0.7000000000000001,0,0,0
2006,1,16,2,30,-0.9,0,0,0
2006,1,16,3,30,-1.2000000000000002,0,0,0
2006,1,16,4,30,-1.4000000000000001,0,0,0
2006,1,16,5,30,-1.4000000000000001,0,0,0
2006,1,16,6,30,-0.5,0,0,0
2006,1,16,7,30,1.8,1,456,63
2006,1,16,8,30,5,0,766,244
2006,1,16,9,30,7.9,0,892,415
2006,1,16,10,30,10,0,936,537
2006,1,16,11,30,11.5,0,960,606
2006,1,16,12,30,12.3,0,957,607
2006,1,16,13,30,12.600000000000001,1,927,544
2006,1,16,14,30,12.200000000000001,0,864,422
2006,1,16,15,30,10.200000000000001,1,728,255
2006,1,16,16,30,7.300000000000001,7,2,35
2006,1,16,17,30,5.4,7,0,0
2006,1,16,18,30,4.5,1,0,0
2006,1,16,19,30,4.3,7,0,0
2006,1,16,20,30,4.5,7,0,0
2006,1,16,21,30,4.800000000000001,7,0,0
2006,1,16,22,30,4.800000000000001,7,0,0
2006,1,16,23,30,4.7,0,0,0
2006,1,17,0,30,4.5,0,0,0
2006,1,17,1,30,4.3,0,0,0
2006,1,17,2,30,4.1000000000000005,0,0,0
2006,1,17,3,30,3.8000000000000003,1,0,0
2006,1,17,4,30,3.5,7,0,0
2006,1,17,5,30,3.4000000000000004,7,0,0
2006,1,17,6,30,3.9000000000000004,7,0,0
2006,1,17,7,30,6.2,4,0,29
2006,1,17,8,30,9.200000000000001,7,325,202
2006,1,17,9,30,11.700000000000001,4,56,262
2006,1,17,10,30,13.3,0,899,533
2006,1,17,11,30,14.5,0,920,600
2006,1,17,12,30,15.3,0,921,604
2006,1,17,13,30,15.5,1,891,542
2006,1,17,14,30,14.700000000000001,7,484,367
2006,1,17,15,30,12.200000000000001,8,276,207
2006,1,17,16,30,9.600000000000001,7,5,45
2006,1,17,17,30,8.4,7,0,0
2006,1,17,18,30,8,7,0,0
2006,1,17,19,30,7.5,0,0,0
2006,1,17,20,30,7,0,0,0
2006,1,17,21,30,6.300000000000001,7,0,0
2006,1,17,22,30,5.4,7,0,0
2006,1,17,23,30,4.6000000000000005,7,0,0
2006,1,18,0,30,3.9000000000000004,7,0,0
2006,1,18,1,30,3.3000000000000003,7,0,0
2006,1,18,2,30,2.7,7,0,0
2006,1,18,3,30,2.1,0,0,0
2006,1,18,4,30,1.8,0,0,0
2006,1,18,5,30,1.7000000000000002,0,0,0
2006,1,18,6,30,2.5,0,0,0
2006,1,18,7,30,4.7,0,386,59
2006,1,18,8,30,7,4,2,103
2006,1,18,9,30,8.700000000000001,3,181,303
