Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,206300,-,-,-,33.85,-118.14,-8,20,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,GHI,Cloud Type
2006,1,1,0,30,12.5,0,0,7
2006,1,1,1,30,12.4,0,0,8
2006,1,1,2,30,12.3,0,0,3
2006,1,1,3,30,12.200000000000001,0,0,7
2006,1,1,4,30,12,0,0,7
2006,1,1,5,30,11.700000000000001,0,0,7
2006,1,1,6,30,11.4,0,0,1
2006,1,1,7,30,11.9,0,28,4
2006,1,1,8,30,12.8,10,86,7
2006,1,1,9,30,13.4,1,81,7
2006,1,1,10,30,13.9,38,236,7
2006,1,1,11,30,14.5,10,187,7
2006,1,1,12,30,15,1,117,6
2006,1,1,13,30,15,0,57,4
2006,1,1,14,30,14.600000000000001,0,58,4
2006,1,1,15,30,13.9,0,48,4
2006,1,1,16,30,13.200000000000001,0,12,7
2006,1,1,17,30,12.9,0,0,8
2006,1,1,18,30,13,0,0,4
2006,1,1,19,30,13.4,0,0,1
2006,1,1,20,30,13.9,0,0,1
2006,1,1,21,30,14.200000000000001,0,0,3
2006,1,1,22,30,14.4,0,0,3
2006,1,1,23,30,14.4,0,0,1
2006,1,2,0,30,14.5,0,0,4
2006,1,2,1,30,14.5,0,0,4
2006,1,2,2,30,14.5,0,0,7
2006,1,2,3,30,14.5,0,0,7
2006,1,2,4,30,14.4,0,0,4
2006,1,2,5,30,14.3,0,0,7
2006,1,2,6,30,14.3,0,0,7
2006,1,2,7,30,14.3,0,13,7
2006,1,2,8,30,14.4,0,36,7
2006,1,2,9,30,14.700000000000001,33,186,8
2006,1,2,10,30,15.100000000000001,0,22,8
2006,1,2,11,30,15.200000000000001,1,105,8
2006,1,2,12,30,15.200000000000001,46,266,8
2006,1,2,13,30,15,0,20,4
2006,1,2,14,30,14.3,0,111,3
2006,1,2,15,30,13.200000000000001,0,7,3
2006,1,2,16,30,12.4,181,42,1
