Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,223303,-,-,-,33.65,-117.14,-8,458,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,GHI
2006,1,1,0,30,11.8,0,0,0
2006,1,1,1,30,11.5,7,0,0
2006,1,1,2,30,11.3,4,0,0
2006,1,1,3,30,11.100000000000001,7,0,0
2006,1,1,4,30,10.700000000000001,8,0,0
2006,1,1,5,30,10.3,7,0,0
2006,1,1,6,30,10,7,0,0
2006,1,1,7,30,10.600000000000001,0,433,75
2006,1,1,8,30,11.8,7,99,163
2006,1,1,9,30,12.9,8,14,155
2006,1,1,10,30,14.100000000000001,7,21,217
2006,1,1,11,30,15.3,7,18,218
2006,1,1,12,30,16.6,8,2,132
2006,1,1,13,30,17.3,8,203,322
2006,1,1,14,30,17,4,0,64
2006,1,1,15,30,15.100000000000001,4,1,71
2006,1,1,16,30,12.9,4,0,13
2006,1,1,17,30,12.3,8,0,0
2006,1,1,18,30,12.5,8,0,0
2006,1,1,19,30,12.4,4,0,0
2006,1,1,20,30,12.3,3,0,0
2006,1,1,21,30,12.5,1,0,0
2006,1,1,22,30,12.9,0,0,0
2006,1,1,23,30,13.4,1,0,0
2006,1,2,0,30,13.600000000000001,0,0,0
2006,1,2,1,30,13.8,4,0,0
2006,1,2,2,30,13.700000000000001,4,0,0
2006,1,2,3,30,13.600000000000001,4,0,0
2006,1,2,4,30,13.5,7,0,0
2006,1,2,5,30,13.3,8,0,0
2006,1,2,6,30,13.100000000000001,7,0,0
2006,1,2,7,30,13.100000000000001,8,1,24
2006,1,2,8,30,13.5,4,0,18
2006,1,2,9,30,14,7,409,320
2006,1,2,10,30,14.4,7,1,89
2006,1,2,11,30,14.5,7,6,167
2006,1,2,12,30,14.4,7,0,77
2006,1,2,13,30,14.200000000000001,7,12,178
2006,1,2,14,30,13.8,8,180,265
2006,1,2,15,30,12.9,8,2,60
2006,1,2,16,30,11.9,1,256,38
2006,1,2,17,30,11,4,0,0
2006,1,2,18,30,10.5,4,0,0
2006,1,2,19,30,10.4,3,0,0
2006,1,2,20,30,10.3,4,0,0
2006,1,2,21,30,10.3,1,0,0
2006,1,2,22,30,10.100000000000001,0,0,0
2006,1,2,23,30,9.8,0,0,0
2006,1,3,0,30,9.4,0,0,0
2006,1,3,1,30,9.1,1,0,0
2006,1,3,2,30,8.8,0,0,0
2006,1,3,3,30,8.5,0,0,0
2006,1,3,4,30,8.3,0,0,0
2006,1,3,5,30,7.7,0,0,0
2006,1,3,6,30,7.6000000000000005,1,0,0
2006,1,3,7,30,8.700000000000001,0,415,76
2006,1,3,8,30,10.200000000000001,7,177,196
2006,1,3,9,30,11.8,7,499,363
2006,1,3,10,30,13.700000000000001,1,922,539
2006,1,3,11,30,15.600000000000001,0,949,595
2006,1,3,12,30,16.7,0,952,588
2006,1,3,13,30,17,0,921,516
2006,1,3,14,30,16.400000000000002,0,852,386
2006,1,3,15,30,14.700000000000001,0,714,217
2006,1,3,16,30,12.4,0,354,43
2006,1,3,17,30,11,0,0,0
2006,1,3,18,30,10.100000000000001,0,0,0
2006,1,3,19,30,9.5,1,0,0
2006,1,3,20,30,9.200000000000001,0,0,0
2006,1,3,21,30,9,0,0,0
2006,1,3,22,30,8.9,7,0,0
2006,1,3,23,30,8.9,1,0,0
2006,1,4,0,30,8.9,7,0,0
2006,1,4,1,30,9,7,0,0
2006,1,4,2,30,9.3,7,0,0
2006,1,4,3,30,9.600000000000001,7,0,0
2006,1,4,4,30,9.3,7,0,0
2006,1,4,5,30,9.1,7,0,0
2006,1,4,6,30,9.8,7,0,0
2006,1,4,7,30,13.100000000000001,1,476,76
2006,1,4,8,30,17.2,0,748,251
2006,1,4,9,30,20.1,0,859,410
2006,1,4,10,30,22.3,0,912,526
2006,1,4,11,30,23.6,0,932,582
2006,1,4,12,30,24.200000000000003,0,929,575
2006,1,4,13,30,24.200000000000003,0,900,506
2006,1,4,14,30,23.1,8,568,338
2006,1,4,15,30,19.900000000000002,8,62,130
2006,1,4,16,30,16.3,7,4,30
2006,1,4,17,30,14.4,8,0,0
2006,1,4,18,30,13.600000000000001,3,0,0
2006,1,4,19,30,13,3,0,0
2006,1,4,20,30,12.700000000000001,3,0,0
2006,1,4,21,30,12.5,4,0,0
2006,1,4,22,30,12.3,4,0,0
2006,1,4,23,30,12.3,4,0,0
2006,1,5,0,30,12.200000000000001,4,0,0
2006,1,5,1,30,12.100000000000001,3,0,0
2006,1,5,2,30,11.8,3,0,0
2006,1,5,3,30,11.600000000000001,1,0,0
2006,1,5,4,30,11.4,1,0,0
2006,1,5,5,30,11.3,1,0,0
2006,1,5,6,30,12.200000000000001,1,0,0
2006,1,5,7,30,15.200000000000001,1,521,80
2006,1,5,8,30,18.8,0,791,261
2006,1,5,9,30,21.700000000000003,0,895,422
2006,1,5,10,30,24,0,945,539
2006,1,5,11,30,25.5,0,963,597
2006,1,5,12,30,26.200000000000003,0,959,591
2006,1,5,13,30,26.1,0,922,520
2006,1,5,14,30,24.700000000000003,1,856,392
2006,1,5,15,30,21.200000000000003,3,234,180
2006,1,5,16,30,17.3,3,1,28
2006,1,5,17,30,15.4,3,0,0
2006,1,5,18,30,14.600000000000001,3,0,0
2006,1,5,19,30,14.100000000000001,4,0,0
2006,1,5,20,30,13.700000000000001,1,0,0
2006,1,5,21,30,13.4,0,0,0
2006,1,5,22,30,13.100000000000001,0,0,0
2006,1,5,23,30,12.8,1,0,0
2006,1,6,0,30,12.5,1,0,0
2006,1,6,1,30,12.200000000000001,1,0,0
2006,1,6,2,30,12,1,0,0
2006,1,6,3,30,11.8,1,0,0
2006,1,6,4,30,11.700000000000001,1,0,0
2006,1,6,5,30,11.5,1,0,0
2006,1,6,6,30,12.4,3,0,0
2006,1,6,7,30,15.600000000000001,3,4,51
2006,1,6,8,30,19.3,0,812,268
2006,1,6,9,30,22,0,919,435
2006,1,6,10,30,23.900000000000002,0,972,555
2006,1,6,11,30,25,0,991,614
2006,1,6,12,30,25.400000000000002,0,987,608
2006,1,6,13,30,25.1,0,961,537
2006,1,6,14,30,23.6,0,897,408
2006,1,6,15,30,20,0,774,237
2006,1,6,16,30,16.400000000000002,0,420,53
2006,1,6,17,30,15,0,0,0
2006,1,6,18,30,14.200000000000001,1,0,0
2006,1,6,19,30,13.700000000000001,1,0,0
2006,1,6,20,30,13.4,1,0,0
2006,1,6,21,30,13.4,3,0,0
2006,1,6,22,30,13.3,4,0,0
2006,1,6,23,30,13,7,0,0
2006,1,7,0,30,12.5,7,0,0
2006,1,7,1,30,12.100000000000001,4,0,0
2006,1,7,2,30,11.600000000000001,1,0,0
2006,1,7,3,30,11.200000000000001,1,0,0
2006,1,7,4,30,10.8,4,0,0
2006,1,7,5,30,10.5,1,0,0
2006,1,7,6,30,10.9,1,0,0
